category,description,ilosc,image_url,name,price
Ptaki/Akcesoria,Białe karmidełko dla papug i synogarlic.,39,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/107543.JPEG,zolux karmidełko dla papug,"5,99"
Ptaki/Akcesoria,Wykonane z plastiku żerdki dla ptaków.,31,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/134115.JPEG,zolux żerdki uniwersalne,"11,60"
Ptaki/Pokarm i przysmaki,Mieszanka PARROT to połączenie smacznych granulatów z nasionami i suszonymi owocami.,12,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/tropifit-parrot-500g-pokarm-dla-duzych-papug.jpg,tropifit parrot pokarm dla dużych papug,"14,88"
Ptaki/Pokarm i przysmaki,W pełni kompletna mieszanka dla wszystkich średnich papużek.,28,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ptaki-VL-Big-Parakeets-Prestige.jpg,versele laga big parakeets prestige,"19,15"
Ptaki/Pokarm i przysmaki,Tradycyjna mieszanka dla wszystkich kanarków.,28,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/kanar uhutfr4e3swwej.jpg,versele laga canaries premium,"28,25"
Ptaki/Pokarm i przysmaki,Mieszanka nasion z dodatkiem suszonych owoców.,76,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/versele-laga-exotic-fruit-dla-papug-600g.jpg,versele laga exotic fruit,"34,13"
Ptaki/Pokarm i przysmaki,Wysokojakościowa mieszanka dla wszystkich ptaków tropikalnych.,98,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/2DCHAAAD-1-500-f-52359AE0.jpg,versele laga tropical finches,"27,00"
Ptaki/Pokarm i przysmaki,Pełnoporcjowa karma przeznaczona dla dużych papug.,83,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/versele-laga-parrots-prestige-1kg.jpg,versele laga parrots prestige,"26,40"
Ptaki/Pokarm i przysmaki,"Mieszanka czystych, odpylanych ziarn najwyższej jakości dla wsyzstkich ptaków.",90,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/d9eaabdd61f91668c8ef8740500e77f7 prosooooooooooooooooooooo.jpg,tropifit proso żółte,"6,60"
